date,BTC,ETH,SOL,BNB,XRP,USDC,DAI,SP500,NASDAQ,GOLD,DXY
2019-01-01,3797.14,139.1,,5.991,0.3608,0.9931,,,,,
2019-01-02,3858.56,152.01,,6.051,0.36882,0.9925,,2510.03,6665.94,121.33,96.819
2019-01-03,3766.78,146.3,,5.7979,0.3524,0.995,,2447.89,6463.5,122.43,96.305
2019-01-04,3792.01,151.97,,5.9692,0.35308,0.9926,,2531.94,6738.86,121.44,96.179
2019-01-05,3770.96,152.83,,5.9625,0.34851,0.9933,,,,,
2019-01-06,3987.6,153.86,,6.2688,0.36042,0.9885,,,,,95.666
2019-01-07,3975.45,149.34,,6.2009,0.36022,0.9922,,2549.69,6823.47,121.86,
2019-01-08,3955.13,147.6,,6.5128,0.36073,0.9908,,2574.41,6897,121.53,95.903
2019-01-09,3966.65,148.1,,6.5511,0.3648,0.9922,,2584.96,6957.08,122.31,95.219
2019-01-10,3585.88,124.95,,5.8449,0.32464,0.9885,,2596.64,6986.07,121.59,95.539
2019-01-11,3601.31,124.65,,5.9595,0.3258,0.9918,,2596.26,6971.48,121.8,95.67
2019-01-12,3583.13,123.35,,5.8594,0.32557,0.9897,,,,,
2019-01-13,3476.81,114.16,,5.4688,0.31132,0.9902,,,,,95.61
2019-01-14,3626.09,126.95,,6.0583,0.32871,0.9889,,2582.61,6905.92,122.09,
2019-01-15,3553.06,118.95,,5.8111,0.3215,0.9918,,2610.3,7023.83,121.88,96.039
2019-01-16,3591.84,121.48,,6.0911,0.3257,0.9947,,2616.1,7034.69,122.27,96.059
2019-01-17,3616.21,121.54,,6.3266,0.32489,0.9949,,2635.96,7084.46,122.11,96.065
2019-01-18,3594.87,119.17,,6.4867,0.32036,0.9977,,2670.71,7157.23,121.02,96.336
2019-01-19,3665.3,122.6,,6.5199,0.3267,0.9949,,,,,
2019-01-20,3539.28,117.47,,6.4008,0.3168,1.0006,,,,,
2019-01-21,3526.9,115.63,,6.4724,0.31767,1.0004,,,,,
2019-01-22,3570.93,117.81,,6.4736,0.31762,0.9979,,2632.9,7020.36,121.45,96.303
2019-01-23,3552.82,116.44,,6.4969,0.31415,0.9998,,2638.7,7025.77,121.28,96.123
