time,open,high,low,close,Volume,Volume MA,CCI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1776099600,72202.37,72600,72069.01,72148.87,1653.64723,879.3169028571366,57.51228212911426,57.51228212911426,,57.51228212911426,,,,,,61.88472313658301,,,,,,,,
1776103200,72148.87,72460.42,72053.78,72424.86,965.95939,906.5659249999937,81.77902983426314,,,,,,,,,65.08168935110011,,,,,,,,
1776106800,72424.86,73480,72298.93,73322.82,2632.95065,1056.5288678571367,188.53105785422164,,,,,188.53105785422164,188.53105785422164,188.53105785422164,,73.01295687689063,,,,,,,,
1776110400,73322,73394.37,73007.08,73149.36,1081.57049,1083.9968185714224,102.88022469548939,,,,,,,,,69.71864040201352,,,,,,,,
1776114000,73149.36,73368.08,73072.85,73179.71,387.90227,1050.3369964285653,72.93598916468257,,,,,,,,,69.97391530705703,,,,,,,,
1776117600,73179.71,74746.61,73172.01,74627.04,3298.60756,1262.0857378571368,168.1024906302891,,,,,,,,,79.04579807730602,,,,,79.04579807730602,,79.04579807730602,
1776121200,74627.04,74900,74405.64,74417.99,1666.14205,1363.197004999994,106.48870776104545,,,,,,,,,75.49766784810254,,,,,,,,
1776124800,74418,74517.31,74102.39,74163.82,1276.45858,1441.6585957142797,54.25621970694266,,,,,,,,,71.30674035306271,,,,,,,,
1776128400,74163.82,74431,73954.86,74386.02,1065.1631,1499.1460321428513,56.870458475732725,,,,,,,,,72.73181399644886,,,,,,,,
1776132000,74386.03,74579.32,74283.2,74330.98,598.05117,1508.9976157142796,39.41549548664119,,,,,,,,,71.78080462661124,,,,,,,,
1776135600,74330.99,74496.9,74252.35,74444.43,646.36946,1444.8279664285656,47.3327121725443,,,,,,,,,72.57676210229833,,,,,,,,
1776139200,74444.44,74504.52,74351.55,74387.85,484.30563,1329.5471014285654,-4.682216222138788,,,,,,,,,71.49369317068647,,,,,,,,
1776142800,74387.85,74434.41,74150.6,74210.11,838.40961,1293.5522307142796,-97.21300830128276,-97.21300830128276,,-97.21300830128276,,,,,,68.05777229102797,,,,,,,,
1776146400,74210.12,74550,74210.12,74522.73,614.57152,1229.2934792857084,117.77777777779147,,,,,,,,,70.72290967597044,,,,,,,,
1776150000,74522.72,74924.64,74430.92,74546,1456.55359,1215.2153621428513,110.02454422390954,,,,,,,,,70.91742399614094,,,,,,,,
1776153600,74545.99,74910,74460.64,74750,938.29896,1213.2396171428513,152.20462299368717,,,,,,,,,72.63396436982393,,,,,,,,
1776157200,74750,74830.93,74435.12,74500,565.8647,1065.5906207142798,11.628861145308523,,,,,,,,,67.38494075747568,,,,,,,,
1776160800,74500,74617.92,74333.46,74350.01,540.18312,1026.9200942857083,-60.217551377702634,,,,,,,,,64.3789367356096,64.3789367356096,,64.3789367356096,,,,,
1776164400,74350.01,74450.63,74307.35,74376.52,653.35819,1045.8812314285656,-45.053064268042434,,,,,,,,,64.67884861237751,,,,,,,,
1776168000,74376.52,74485.06,74277.19,74452,513.51818,846.9462757142797,-34.6825329568853,,,,,,,,,65.56776087765152,,,,,,,,
1776171600,74452,75532.94,74407.74,75525.94,3246.78739,959.8495142857082,208.09896344350193,,,,,208.09896344350193,,208.09896344350193,,75.15025869121078,,,,,75.15025869121078,75.15025869121078,75.15025869121078,
1776175200,75525.94,76038,75013.61,75013.62,4357.56106,1179.9282628571366,61.10793070406304,,,,,,,,,65.74970854739868,,,,,,,,
1776178800,75013.61,75441.99,74564.34,75317.07,1661.60412,1222.5311928571366,82.7334030736445,,,,,,,,,68.28062563552581,,,,,,,,
1776182400,75317.06,75688,74527.02,74652.2,1265.45725,1270.2030557142793,-26.352121045572712,,,,,,,,,58.142818873294324,,,,,,,,
